calibration_hs,model,parameter,cicero_position,senators_600_mean_hs
3677083.333333,lognormal,sigma=0.5,p50,2500008775
3677083.333333,lognormal,sigma=0.5,p60,2202560815
3677083.333333,lognormal,sigma=0.5,p70,1923399100
3677083.333333,lognormal,sigma=0.5,p75,1784341370
3677083.333333,lognormal,sigma=0.5,p80,1641291817
3677083.333333,lognormal,sigma=0.5,p90,1317213416
3677083.333333,lognormal,sigma=0.7,p50,2818752022
3677083.333333,lognormal,sigma=0.7,p60,2360683674
3677083.333333,lognormal,sigma=0.7,p70,1952701665
3677083.333333,lognormal,sigma=0.7,p75,1757955378
3677083.333333,lognormal,sigma=0.7,p80,1563863525
3677083.333333,lognormal,sigma=0.7,p90,1149363307
3677083.333333,lognormal,sigma=0.9,p50,3307836141
3677083.333333,lognormal,sigma=0.9,p60,2633415964
3677083.333333,lognormal,sigma=0.9,p70,2063355993
3677083.333333,lognormal,sigma=0.9,p75,1802642181
3677083.333333,lognormal,sigma=0.9,p80,1550899572
3677083.333333,lognormal,sigma=0.9,p90,1043831240
3677083.333333,lognormal,sigma=1.0,p50,3637491303
3677083.333333,lognormal,sigma=1.0,p60,2823414981
3677083.333333,lognormal,sigma=1.0,p70,2153067843
3677083.333333,lognormal,sigma=1.0,p75,1852997303
3677083.333333,lognormal,sigma=1.0,p80,1567799444
3677083.333333,lognormal,sigma=1.0,p90,1009790286
3677083.333333,lognormal,sigma=1.1,p50,4040200186
3677083.333333,lognormal,sigma=1.1,p60,3057545373
3677083.333333,lognormal,sigma=1.1,p70,2269259752
3677083.333333,lognormal,sigma=1.1,p75,1923902195
3677083.333333,lognormal,sigma=1.1,p80,1600811815
3677083.333333,lognormal,sigma=1.1,p90,986677061
3677083.333333,lognormal,sigma=1.3,p50,5136101053
3677083.333333,lognormal,sigma=1.3,p60,3694861267
3677083.333333,lognormal,sigma=1.3,p70,2597562682
3677083.333333,lognormal,sigma=1.3,p75,2137116663
3677083.333333,lognormal,sigma=1.3,p80,1719763254
3677083.333333,lognormal,sigma=1.3,p90,970714579
3677083.333333,lognormal,sigma=1.5,p50,6795728423
3677083.333333,lognormal,sigma=1.5,p60,4647240428
3677083.333333,lognormal,sigma=1.5,p70,3094707742
3677083.333333,lognormal,sigma=1.5,p75,2470843565
3677083.333333,lognormal,sigma=1.5,p80,1922953704
3677083.333333,lognormal,sigma=1.5,p90,993985049
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p50,3580211015
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p60,3080651046
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p70,2530516454
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p75,2230282685
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p80,1907801982
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p90,1162633120
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p50,3391164313
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p60,2956298683
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p70,2471300625
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p75,2203291158
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p80,1912204607
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p90,1222170693
3677083.333333,truncated_pareto,alpha=1.585;cap=50000000,p50,3236738926
3677083.333333,truncated_pareto,alpha=1.585;cap=50000000,p60,2852033888
3677083.333333,truncated_pareto,alpha=1.585;cap=50000000,p70,2418671937
3677083.333333,truncated_pareto,alpha=1.585;cap=50000000,p75,2176817519
3677083.333333,truncated_pareto,alpha=1.585;cap=50000000,p80,1911800744
3677083.333333,truncated_pareto,alpha=1.585;cap=50000000,p90,1270518917
3677083.333333,truncated_pareto,alpha=1.7;cap=50000000,p50,3151504928
3677083.333333,truncated_pareto,alpha=1.7;cap=50000000,p60,2793894381
3677083.333333,truncated_pareto,alpha=1.7;cap=50000000,p70,2388779588
3677083.333333,truncated_pareto,alpha=1.7;cap=50000000,p75,2161427975
3677083.333333,truncated_pareto,alpha=1.7;cap=50000000,p80,1911057429
3677083.333333,truncated_pareto,alpha=1.7;cap=50000000,p90,1298156737
3677083.333333,truncated_pareto,alpha=1.8;cap=50000000,p50,3083944720
3677083.333333,truncated_pareto,alpha=1.8;cap=50000000,p60,2747640526
3677083.333333,truncated_pareto,alpha=1.8;cap=50000000,p70,2364902356
3677083.333333,truncated_pareto,alpha=1.8;cap=50000000,p75,2149130452
3677083.333333,truncated_pareto,alpha=1.8;cap=50000000,p80,1910544120
3677083.333333,truncated_pareto,alpha=1.8;cap=50000000,p90,1320957185
3677083.333333,truncated_pareto,alpha=2.0;cap=50000000,p50,2965877662
3677083.333333,truncated_pareto,alpha=2.0;cap=50000000,p60,2666677953
3677083.333333,truncated_pareto,alpha=2.0;cap=50000000,p70,2323244498
3677083.333333,truncated_pareto,alpha=2.0;cap=50000000,p75,2128001608
3677083.333333,truncated_pareto,alpha=2.0;cap=50000000,p80,1910496006
3677083.333333,truncated_pareto,alpha=2.0;cap=50000000,p90,1363642266
